T	A	B	C	D	E	F	G	H	I
0	11	12	9	13	12	11	6	9	9
1	20	44	11	28	60	8	5	12	9
2	29	86	0	31	128	4	0	26	4
3	28	105	0	28	159	0	0	32	0
4	24	116	0	19	178	0	0	33	0
5	21	125	0	11	192	0	0	33	0
6	19	133	0	4	200	0	0	34	0
7	19	138	0	1	204	0	0	34	0
8	19	141	0	0	206	0	0	34	0
9	19	141	0	0	206	0	0	34	0
10	19	141	0	0	206	0	0	34	0
11	19	141	0	0	206	0	0	34	0
12	19	141	0	0	206	0	0	34	0
13	19	141	0	0	206	0	0	34	0
14	19	141	0	0	206	0	0	34	0
15	19	141	0	0	206	0	0	34	0
16	19	141	0	0	206	0	0	34	0
17	19	141	0	0	208	0	0	32	0
18	19	141	0	0	209	0	0	31	0
19	19	141	0	0	211	0	0	29	0
20	19	141	0	0	213	0	0	27	0
21	19	142	0	0	215	0	0	24	0
22	19	142	0	0	216	0	0	23	0
23	19	142	0	0	219	0	0	20	0
24	19	142	0	0	219	0	0	20	0
25	19	142	0	0	219	0	0	20	0
26	19	142	0	0	219	0	0	20	0
27	19	142	0	0	219	0	0	20	0
28	19	142	0	0	219	0	0	20	0
29	19	142	0	0	219	0	0	20	0
30	19	142	0	0	219	0	0	20	0
31	19	142	0	0	219	0	0	20	0
32	14	143	0	0	224	0	0	19	0
33	9	144	0	0	229	0	0	18	0
34	5	144	0	0	235	0	0	16	0
35	2	144	0	0	240	0	0	14	0
36	0	131	0	0	257	0	0	12	0
37	0	119	0	0	272	0	0	9	0
38	0	106	0	0	288	0	0	6	0
39	0	93	0	0	304	0	0	3	0
40	0	81	0	0	319	0	0	0	0
41	0	65	0	0	335	0	0	0	0
42	0	53	0	0	347	0	0	0	0
43	0	42	0	0	358	0	0	0	0
44	0	32	0	0	368	0	0	0	0
45	0	23	0	0	377	0	0	0	0
46	0	16	0	0	384	0	0	0	0
47	0	8	0	0	392	0	0	0	0
48	0	2	0	0	398	0	0	0	0
49	0	0	0	0	400	0	0	0	0
50	0	0	0	0	400	0	0	0	0
