T	A	B	C	D	E	F	G	H	I
0	11	12	9	13	12	11	6	9	9
1	20	44	11	28	60	8	5	12	9
2	29	86	0	31	128	4	0	26	4
3	28	105	0	28	159	0	0	32	0
4	24	116	0	19	178	0	0	33	0
5	21	125	0	11	192	0	0	33	0
6	19	133	0	4	200	0	0	34	0
7	19	138	0	1	204	0	0	34	0
8	19	141	0	0	206	0	0	34	0
9	19	141	0	0	206	0	0	34	0
10	19	141	0	0	206	0	0	34	0
11	19	141	0	0	206	0	0	34	0
12	19	141	0	0	206	0	0	34	0
13	19	141	0	0	206	0	0	34	0
14	19	141	0	0	206	0	0	34	0
15	19	141	0	0	206	0	0	34	0
16	19	141	0	0	206	0	0	34	0
17	19	141	0	0	206	0	0	34	0
18	19	141	0	0	206	0	0	34	0
19	19	141	0	0	206	0	0	34	0
20	19	141	0	0	206	0	0	34	0
21	19	141	0	0	206	0	0	34	0
22	19	141	0	0	206	0	0	34	0
23	19	141	0	0	206	0	0	34	0
24	19	141	0	0	206	0	0	34	0
25	19	141	0	0	206	0	0	34	0
26	19	141	0	0	206	0	0	34	0
27	19	141	0	0	206	0	0	34	0
28	19	141	0	0	206	0	0	34	0
29	19	141	0	0	206	0	0	34	0
30	19	141	0	0	206	0	0	34	0
31	12	69	0	0	273	0	0	46	0
32	6	17	0	0	323	0	0	54	0
33	2	1	0	0	341	0	0	56	0
34	6	6	0	0	291	0	0	97	0
35	12	15	0	0	226	0	0	147	0
36	20	28	0	0	156	0	0	196	0
37	12	26	0	0	215	0	0	147	0
38	6	22	0	0	272	0	0	100	0
39	2	18	0	0	322	0	0	58	0
40	0	13	0	0	332	0	0	55	0
